"Species","rates_anura_svl","rates_anura_litter","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"Pipa_carvalhoi",0.103809144197676,0.0240486792852666,"7.99999972459024","63.9988839793049","143.991083628356","12.9995816304136","23.0002786625852","62.9974895421409","72.004047736424"
"Ameerega_flavopicta",0.169549210537798,-0.156172127494292,"9","64.0004178090017","103.999583323591","14.0001394464053","22.9998603449994","81.0004187970017","29.9993037380126"
"Ameerega_picta",-0.198216785361654,-0.907999142684691,"7.99986077269987","68.0000695564051","67.5007653142989","11.0000696521025","24","57.9994429355817","126.50243460424"
"Allobates_olfersioides",-0.199606333422464,-4.00767422567244,"7.99902397661736","56.9999997668106","158.990381223649","11.9995811772394","22.0001394470006","52.0011160056569","105.997497766346"
"Fritziana_fissilis",-0.22270100979553,-0.585920904838778,"7.99951174941439","54.9977688882585","214.497424308238","13.9997211528106","19.4997218611029","56.0001358896203","124.990185866764"
"Fritziana_ohausi",-0.0701659402407554,-0.321673282489221,"7.99930262201813","55.9955382897097","212.999444490804","13.9994423056212","19.9995825663991","57.0004130940228","105.997497766346"
"Fritziana_goeldii",0.165010699775107,-0.344150189936471,"8.00013915900057","56.0001385955975","215.995404125671","14.9998605609994","18.0002783534064","62.9974895421409","112.994853119373"
"Gastrotheca_albolineata",-0.00238081931840425,-1.26167621847348,"7.99951174941439","55.997420191274","201.992264304148","13.9997211528106","20.4999307256077","65.4989518794079","97.997222521615"
"Gastrotheca_ernestoi",0.85575638477624,-0.140288596303811,"7.99972089050935","52.9990232850374","212.995260291595","14.4995117728163","19.5000002974036","61.5003445416266","121.987957542189"
"Gastrotheca_fulvorufa",2.93410550015493,3.1337239093165,"6.99923294002417","59.4960951156894","160.490868052217","11.9988843919956","21.5004182075905","25.0003488234356","228.006064583505"
"Gastrotheca_microdiscus",-3.12353237737545,-3.33298272185253,"7.99916326391857","51.9995108675925","215.996797587538","13.998954017633","19.0000002874036","46.5012498663783","153.998545310844"
"Gastrotheca_fissipes",0.321348249596306,-1.75112691061909,"7.99902373099612","60.9969310205795","149.001670271538","11.9988843919956","23","52.000000174713","107.012001511327"
"Brachycephalus_didactylus",-0.437539322696101,-0.639135624890448,"7.99930262201813","53.9999994868073","212.991076092386","14.9984665234257","20.0001394390006","64.9976277695854","99.9930411171961"
"Brachycephalus_margaritatus",0.397403272537479,0.267710527063849,"8.99986058840251","56.0001385955975","215.998607586592","15","17.000278823195","67.0018096030074","97.994294958769"
"Brachycephalus_alipioi",1.31915965247832,1.37224277817507,"6.49979026579541","51.9986734397895","189.994145920112","11.9996508304975","20.0005573308935","58.9999957412644","126.000363261044"
"Brachycephalus_hermogenesi",-1.4231368550324,-1.47164332729075,"7.49965111210427","50.9986041604193","230.497562585695","13.9996512581015","17.500278679198","44.5004839401189","186.485033566986"
"Brachycephalus_nodoterga",-0.191939521897921,-0.189104966360957,"4.50048689450228","37.0025735924104","224.496933907302","11.5002779134028","18.4998609849991","43.0011808565127","207.487750242457"
"Brachycephalus_vertebralis",0.250314474817422,0.285415651647046,"5.00048690450228","39.0025046192049","196.000902920633","10.5006261975026","18.9998611209989","51.0029912831098","130.989418482814"
"Brachycephalus_ephippium",0.361807986074364,-0.543074097096039,"6.99944186440962","55.9955382897097","177.99442138532","12.9994415924096","21.0001394430006","47.0013897377223","121.995825238943"
"Brachycephalus_ferruginus",-0.45635758695374,-1.01462607261054,"5.99958127719585","40.9980456105766","276.994705546563","12.9995812771959","17.9998611597978","38.9999992735967","311.98537758108"
"Brachycephalus_pernix",0.435051172945496,0.702384926438054,"5.99958127719585","40.9980456105766","276.994705546563","12.9995812771959","17.9998611597978","38.9999992735967","311.98537758108"
"Brachycephalus_pombali",0.0345511706483382,0.489523389636421,"5.99958127719585","40.9980456105766","276.994705546563","12.9995812771959","17.9998611597978","38.9999992735967","311.98537758108"
"Ischnocnema_concolor",-0.237204671747049,-0.372580436584218,"8.99986058840251","56.0001385955975","212.999444490804","15","17.000278823195","69.0011124560046","99.9930411171961"
"Ischnocnema_melanopygia",-0.0434725439442763,-0.518848375783429,"8.99986058840251","56.0001385955975","212.999444490804","15","17.000278823195","69.0011124560046","99.9930411171961"
"Ischnocnema_spanios",-0.127372441449328,-0.291111095600956,"7.49972080790552","52.9984649740224","221.995888978325","13.9995814023064","17.5002092356972","50.500484340126","180.490607615855"
"Ischnocnema_holti",0.0819933612829032,-0.386575840712297,"8.99986058840251","56.0001385955975","212.999444490804","15","17.000278823195","69.0011124560046","99.9930411171961"
"Ischnocnema_lactea",0.104473778907494,0.144077506251998,"8.99979099120153","57.4999300553076","203.998957812993","14.9999304047973","18.0006271412908","68.001461029506","88.5034217460657"
"Ischnocnema_erythromera",-0.0438822352458689,-0.00304439594802854,"7.99972089050935","52.9990232850374","214.994841786507","14.4995117728163","19.5000002974036","61.5003445416266","119.992138946608"
"Ischnocnema_guentheri",0.660124952343856,0.629806291719259,"8.99979099120153","53.5002083339045","226.4959621558","15.0000695677999","17.0003483898024","42.0019492111075","169.492069074603"
"Ischnocnema_henselii",-0.620665846491316,-0.700435892316289,"8.99902426737107","48.9956787082534","310.99693059037","16.9991638059967","14.999999748","20.0001386663959","341.989138665063"
"Ischnocnema_izecksohni",0.0114164430333398,-0.00682576244630008,"8.99986056499945","59.0000691757979","192.498538792708","14.9999304144997","18.5000697252026","85.5001387415961","44.498886717914"
"Ischnocnema_nasuta",-0.033113234566142,-0.0549772721484971,"8.9999999902979","59.9999996254026","183.499234683497","14.9998606001055","19.5001394395947","74.0005569040028","63.9983994429863"
"Ischnocnema_oea",-0.0196566646698496,-0.0422287517259779,"7.99902389040301","57.9958161932388","179.992053176968","13.9987449769949","22.0001394470006","62.9974895421409","105.010602200473"
"Ischnocnema_pusilla",-0.00315231942194518,-0.359657824354746,"5.00048690450228","39.0025046192049","196.000902920633","10.5006261975026","18.9998611209989","51.0029912831098","130.989418482814"
"Ischnocnema_nigriventris",-0.143064864205475,-0.511947072428055,"7.99999975140141","55.9997201596045","225.997493221201","14.9997212122031","17.0001394035992","54.9998586852178","155.002377867305"
"Ischnocnema_sambaqui",0.227118406894399,-0.109017284561439,"5.99958127719585","40.9980456105766","276.994705546563","12.9995812771959","17.9998611597978","38.9999992735967","311.98537758108"
"Ischnocnema_epipeda",-0.00315231928340413,-0.359657824412855,"7.99902389040301","57.9958161932388","179.992053176968","13.9987449769949","22.0001394470006","62.9974895421409","105.010602200473"
"Ischnocnema_penaxavantinho",-0.113097647091402,-0.479328946771773,"9.00000000970182","62.9999304144994","150.498609326713","14.9999999902985","20.0000697386057","81.0006270055025","39.9981203342993"
"Ischnocnema_randorum",-0.157167084069201,-1.05104021085619,"6.99944186440962","49.9972097884402","217.994284735448","12.9994415924096","18.0002790677952","46.0011099950343","205.978837364405"
"Ischnocnema_surda",-0.0214332181789118,-0.379555856469962,"8.49999999229707","58.0002783205958","192.498886409266","14.9998606949994","18.5001393087032","84.0003477018796","44.4996526750132"
"Ischnocnema_gualteri",-0.00315231945700705,-0.359657824352572,"7.99972089050935","52.9990232850374","214.994841786507","14.4995117728163","19.5000002974036","61.5003445416266","119.992138946608"
"Ischnocnema_hoehnei",0.111309884780624,-0.145718979906446,"8.00006945520099","54.9998598232059","216.498607533609","14.9997909080049","17.5002789454951","60.5000673372241","127.497709492251"
"Ischnocnema_venancioi",-0.106485408353262,-0.382710481001767,"8.00013915900057","53.9999994868073","215.995404125671","14.9998606038067","19.9998610935947","66.0002759892304","96.001403926034"
"Ischnocnema_parva",-0.0348182424593224,-0.801841491640601,"7.99986031410603","55.997420191274","211.995121159574","14.9990938678144","18.5004181561927","60.0011811977163","113.493736181359"
"Ischnocnema_manezinho",0.135453977685538,-0.208790374920576,"5.99958127719585","40.9980456105766","292.997773443991","12.9995812771959","17.0004179496036","27.9987451247814","311.98537758108"
"Ischnocnema_abdita",-0.260786595903577,-0.531519503227572,"6.4994417725916","52.9969304899898","178.993237281144","11.9993021661843","22.0001394470006","54.9994396399316","138.501755290056"
"Ischnocnema_bolbodactyla",-0.100670446449286,-0.357315767850314,"6.49958115000488","47.9974881864196","217.496446108038","12.9995114482047","18.9998611267029","44.5004839401189","158.494086857869"
